Figures 7 and 8. The entire outgoing X-ray flux efficiency for all X-ray producing oxygen and sulfur charge states as a function of initial ion energy from a single incident ion/cm^2/s with an isotropic downward distribution of pitch angles from charge exchange in atmosphere 1.

 Viewing Angle:    0.0°
 Ion Energy [keV/u]      Total    O_Total         O6         O7  Ion Energy [keV/u]    S_Total         S8         S9        S10        S11        S12        S13        S14
      400.00           0.48394    0.12456    0.10294    0.02161       450.00           0.31946    0.17269    0.08948    0.03027    0.01433    0.00773    0.00494    0.00002
      450.00           0.64800    0.15752    0.12417    0.03335       500.00           0.44143    0.19194    0.12176    0.05162    0.03314    0.02221    0.02061    0.00015
      456.25           0.95861    0.16177    0.12673    0.03504       600.00           0.60593    0.17921    0.13648    0.07358    0.06701    0.05998    0.08846    0.00121
      500.00           1.11690    0.18621    0.13952    0.04668       700.00           0.66478    0.15150    0.12194    0.07190    0.07635    0.08191    0.15785    0.00334
      600.00           1.11297    0.22646    0.15318    0.07328       800.00           0.66488    0.12849    0.10528    0.06388    0.07278    0.08666    0.20172    0.00607
      700.00           1.05949    0.24179    0.14925    0.09254       900.00           0.63599    0.11009    0.09141    0.05598    0.06572    0.08331    0.22044    0.00904
      800.00           0.98543    0.24245    0.13850    0.10395      1000.00           0.59438    0.09534    0.08011    0.04923    0.05867    0.07686    0.22232    0.01185
      900.00           0.90820    0.23433    0.12589    0.10844      1250.00           0.48519    0.06888    0.05982    0.03679    0.04496    0.06068    0.19741    0.01664
     1000.00           0.81684    0.22227    0.11385    0.10843      1500.00           0.39638    0.05167    0.04624    0.02854    0.03564    0.04878    0.16689    0.01860
     1250.00           0.64851    0.18982    0.08997    0.09985      1750.00           0.32763    0.03981    0.03672    0.02272    0.02910    0.04003    0.14030    0.01896
     1500.00           0.52757    0.16214    0.07349    0.08865      2000.00           0.27407    0.03125    0.02976    0.01839    0.02411    0.03343    0.11879    0.01834
     1750.00           0.13851    0.13851    0.06095    0.07756         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     2000.00           0.12023    0.12023    0.05169    0.06854         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     5000.00           0.03116    0.03116    0.01087    0.02029         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
    10000.00           0.00493    0.00493    0.00121    0.00373         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
