Figure 3. Sulfur charge state distribution as a function of ion energy.  The high charge state peaks have dramatically shifted to lower energies than previous models produced. Ozak et al. (2010) had the peaks of S^{6+} and S^{14+} at ∼500 keV/u and ∼2.2 MeV/u, respectively.  Due to the use of newly developed SIM cross-sections, the peaks have now shifted down to energies of ∼275keV/u and ∼900 keV/u, respectively.

 Energy [keV/u]        S        S+       S2+       S3+       S4+       S5+       S6+       S7+       S8+       S9+      S10+      S11+      S12+      S13+      S14+      S15+      S16+
    71.50       8.26E-02  2.58E-01  3.26E-01  2.32E-01  8.28E-02  1.65E-02  1.28E-03  1.25E-05  1.65E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    72.50       7.91E-02  2.52E-01  3.26E-01  2.38E-01  8.59E-02  1.75E-02  1.41E-03  1.29E-05  3.25E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    73.50       7.55E-02  2.46E-01  3.25E-01  2.43E-01  8.99E-02  1.87E-02  1.51E-03  1.10E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    74.50       7.19E-02  2.39E-01  3.24E-01  2.49E-01  9.40E-02  1.99E-02  1.63E-03  2.17E-05  1.71E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    75.50       6.83E-02  2.33E-01  3.23E-01  2.55E-01  9.79E-02  2.12E-02  1.85E-03  2.25E-05  6.59E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    76.50       6.53E-02  2.27E-01  3.21E-01  2.60E-01  1.02E-01  2.26E-02  1.99E-03  2.03E-05  3.37E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    77.50       6.21E-02  2.21E-01  3.20E-01  2.65E-01  1.06E-01  2.39E-02  2.14E-03  2.56E-05  6.74E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    78.50       5.95E-02  2.15E-01  3.17E-01  2.70E-01  1.11E-01  2.55E-02  2.40E-03  2.79E-05  1.02E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    79.50       5.67E-02  2.08E-01  3.15E-01  2.75E-01  1.15E-01  2.71E-02  2.54E-03  3.10E-05  6.94E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    80.50       5.41E-02  2.02E-01  3.11E-01  2.80E-01  1.20E-01  2.89E-02  2.88E-03  3.87E-05  1.64E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    81.50       5.15E-02  1.96E-01  3.09E-01  2.85E-01  1.25E-01  3.05E-02  3.06E-03  4.37E-05  1.73E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    82.50       4.92E-02  1.90E-01  3.06E-01  2.88E-01  1.30E-01  3.25E-02  3.41E-03  4.37E-05  8.48E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    83.50       4.70E-02  1.85E-01  3.02E-01  2.93E-01  1.35E-01  3.44E-02  3.73E-03  4.69E-05  8.73E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    84.50       4.48E-02  1.79E-01  2.98E-01  2.97E-01  1.40E-01  3.63E-02  4.03E-03  4.47E-05  8.63E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    85.50       4.26E-02  1.73E-01  2.94E-01  3.01E-01  1.46E-01  3.85E-02  4.32E-03  6.96E-05  2.47E-06  1.83E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    86.50       4.08E-02  1.67E-01  2.91E-01  3.04E-01  1.51E-01  4.07E-02  4.73E-03  6.81E-05  3.46E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    87.50       3.87E-02  1.62E-01  2.87E-01  3.08E-01  1.57E-01  4.27E-02  5.18E-03  7.11E-05  1.58E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    88.50       3.69E-02  1.57E-01  2.82E-01  3.11E-01  1.62E-01  4.49E-02  5.52E-03  8.87E-05  3.11E-06  1.81E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    89.50       3.52E-02  1.51E-01  2.78E-01  3.14E-01  1.68E-01  4.74E-02  6.04E-03  9.92E-05  3.17E-06  1.78E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    90.50       3.35E-02  1.46E-01  2.73E-01  3.16E-01  1.74E-01  5.01E-02  6.51E-03  1.05E-04  3.31E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    91.50       3.19E-02  1.42E-01  2.68E-01  3.18E-01  1.81E-01  5.26E-02  7.09E-03  1.14E-04  2.26E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    92.50       3.02E-02  1.37E-01  2.63E-01  3.20E-01  1.87E-01  5.52E-02  7.46E-03  1.18E-04  4.26E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    93.50       2.91E-02  1.32E-01  2.59E-01  3.22E-01  1.92E-01  5.80E-02  8.12E-03  1.42E-04  5.30E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    94.50       2.75E-02  1.27E-01  2.54E-01  3.23E-01  1.99E-01  6.08E-02  8.73E-03  1.33E-04  2.29E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    95.50       2.63E-02  1.23E-01  2.49E-01  3.24E-01  2.05E-01  6.37E-02  9.44E-03  1.51E-04  4.42E-06  1.79E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    96.50       2.51E-02  1.18E-01  2.43E-01  3.26E-01  2.12E-01  6.67E-02  1.01E-02  1.84E-04  6.76E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    97.50       2.38E-02  1.13E-01  2.39E-01  3.25E-01  2.18E-01  6.98E-02  1.08E-02  1.93E-04  6.46E-06  1.86E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    98.50       2.26E-02  1.09E-01  2.33E-01  3.26E-01  2.24E-01  7.32E-02  1.17E-02  2.26E-04  8.20E-06  1.67E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
    99.50       2.17E-02  1.05E-01  2.28E-01  3.27E-01  2.30E-01  7.61E-02  1.24E-02  2.33E-04  9.95E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
   100.50       2.05E-02  1.01E-01  2.23E-01  3.26E-01  2.36E-01  7.96E-02  1.32E-02  2.44E-04  9.39E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
   101.50       1.91E-02  9.62E-02  2.18E-01  3.26E-01  2.43E-01  8.33E-02  1.41E-02  3.04E-04  8.97E-06  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
   102.50       1.81E-02  9.20E-02  2.13E-01  3.25E-01  2.49E-01  8.74E-02  1.51E-02  3.22E-04  1.53E-05  5.25E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
   103.50       1.69E-02  8.79E-02  2.08E-01  3.24E-01  2.56E-01  9.12E-02  1.61E-02  3.39E-04  1.83E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
   104.50       1.58E-02  8.42E-02  2.03E-01  3.23E-01  2.62E-01  9.46E-02  1.71E-02  3.82E-04  1.93E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
   105.50       1.48E-02  8.03E-02  1.98E-01  3.22E-01  2.68E-01  9.84E-02  1.81E-02  3.77E-04  1.45E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
   106.50       1.39E-02  7.66E-02  1.93E-01  3.21E-01  2.73E-01  1.02E-01  1.94E-02  4.40E-04  1.69E-05  5.35E-07  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
